,Order Date,Sales,7_day_MA,30_day_MA
1094,2017-01-01,1481.8280000000002,,
1095,2017-01-02,2079.554,,
1096,2017-01-03,2070.272,,
1097,2017-01-04,0.0,,
1098,2017-01-05,0.0,,
1099,2017-01-06,33.74,,
1100,2017-01-07,3395.59,1294.4262857142858,
1101,2017-01-08,892.98,1210.305142857143,
1102,2017-01-09,274.491,952.4390000000001,
1103,2017-01-10,0.0,656.6858571428571,
1104,2017-01-11,0.0,656.6858571428571,
1105,2017-01-12,848.52,777.903,
1106,2017-01-13,4619.33,1432.9872857142857,
1107,2017-01-14,1056.038,1098.7655714285715,
1108,2017-01-15,2140.28,1276.9512857142856,
1109,2017-01-16,6230.2919999999995,2127.7799999999997,
1110,2017-01-17,0.0,2127.7799999999997,
1111,2017-01-18,0.0,2127.7799999999997,
1112,2017-01-19,2013.715,2294.2364285714284,
1113,2017-01-20,767.838,1744.0232857142857,
1114,2017-01-21,2546.643,1956.9668571428572,
1115,2017-01-22,4212.372,2252.98,
1116,2017-01-23,450.334,1427.2717142857143,
1117,2017-01-24,418.66599999999994,1487.081142857143,
1118,2017-01-25,0.0,1487.0811428571428,
1119,2017-01-26,3055.2799999999997,1635.8761428571431,
1120,2017-01-27,331.914,1573.6012857142857,
1121,2017-01-28,1007.52,1353.7265714285713,
1122,2017-01-29,294.842,794.0794285714285,
1123,2017-01-30,3749.335,1265.3652857142858,1465.7124666666666
1124,2017-01-31,0.0,1205.5558571428571,1416.3182000000002
1125,2017-02-01,0.0,1205.5558571428571,1346.9997333333333
1126,2017-02-02,913.354,899.5664285714286,1308.4358
1127,2017-02-03,922.327,983.911142857143,1339.1800333333333
1128,2017-02-04,32.67,844.646857142857,1340.2690333333333
1129,2017-02-05,2263.012,1125.814,1414.5781
1130,2017-02-06,904.354,719.388142857143,1331.5368999999998
1131,2017-02-07,0.0,719.388142857143,1301.7709
1132,2017-02-08,0.0,719.388142857143,1292.6212
1133,2017-02-09,773.7639999999999,699.4467142857144,1318.4133333333334
1134,2017-02-10,227.103,600.129,1325.9834333333333
1135,2017-02-11,1241.516,772.8212857142856,1339.0833
1136,2017-02-12,0.0,449.53385714285713,1185.1056333333333
1137,2017-02-13,1058.43,471.5447142857143,1185.1853666666668
1138,2017-02-14,0.0,471.5447142857143,1113.8427000000001
1139,2017-02-15,0.0,471.5447142857143,906.1663
1140,2017-02-16,1337.442,552.0701428571429,950.7477
1141,2017-02-17,2964.8174,943.1722,1049.5749466666666
1142,2017-02-18,287.326,806.8593428571428,992.0286466666668
1143,2017-02-19,1314.59,994.6579142857144,1010.2537133333333
1144,2017-02-20,1150.29,1007.7807714285715,963.7086133333333
1145,2017-02-21,47.904,1014.6242,824.8930133333334
1146,2017-02-22,0.0,1014.6242,809.8818800000001
1147,2017-02-23,117.79999999999998,840.3896285714285,799.8530133333334
1148,2017-02-24,1448.676,623.7979999999999,848.1422133333333
1149,2017-02-25,430.49199999999996,644.2502857142856,760.64928
1150,2017-02-26,2847.6459999999997,863.2582857142855,844.5070133333334
1151,2017-02-27,0.0,698.9311428571427,810.9230133333333
1152,2017-02-28,17.62,694.6048571428571,801.6822799999999
1153,2017-03-01,0.0,694.6048571428571,676.7044466666666
1154,2017-03-02,1450.126,884.9371428571428,725.04198
1155,2017-03-03,2000.1039999999998,963.7125714285713,791.7121133333333
1156,2017-03-04,228.822,934.9025714285714,768.89438
1157,2017-03-05,1240.02,705.2417142857141,779.4841466666666
1158,2017-03-06,778.236,816.4182857142857,804.3363466666667
1159,2017-03-07,166.59,837.6997142857142,734.4556133333333
1160,2017-03-08,843.1,958.1425714285714,732.4138133333332
1161,2017-03-09,710.804,852.5251428571428,756.10728
1162,2017-03-10,1252.952,745.7891428571429,797.8723466666667
1163,2017-03-11,1973.708,995.0585714285714,837.8704799999999
1164,2017-03-12,353.28,868.3814285714286,842.0763800000001
1165,2017-03-13,4791.35,1441.6834285714285,960.4041799999999
1166,2017-03-14,49.616,1424.9728571428573,962.0580466666667
1167,2017-03-15,0.0,1304.5300000000002,926.7770466666667
1168,2017-03-16,2014.381,1490.755285714286,993.92308
1169,2017-03-17,542.746,1389.2972857142856,1012.0146133333333
1170,2017-03-18,1027.758,1254.1615714285715,1001.6918133333332
1171,2017-03-19,2166.248,1513.157,975.0728333333333
1172,2017-03-20,899.568,957.1881428571429,995.4808999999999
1173,2017-03-21,3332.636,1426.191,1062.7491
